Mode,Start,Goal,Algorithm,Path Length,Path Cost,Nodes Expanded,Runtime (us),Path
Today Mode,Bishan,Changi Airport,GBFS,17,55,22,32.3,Bishan -> Braddell -> Novena -> Newton -> Orchard -> Somerset -> Dhoby Ghaut -> City Hall -> Bugis -> Kallang -> Aljunied -> Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Expo -> Changi Airport
Today Mode,Bishan,Changi Airport,A*,17,55,91,65.4,Bishan -> Braddell -> Novena -> Newton -> Orchard -> Somerset -> Dhoby Ghaut -> City Hall -> Bugis -> Kallang -> Aljunied -> Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Expo -> Changi Airport
Today Mode,Tampines,Changi Airport,BFS,4,19,12,6.7,Tampines -> Tanah Merah -> Expo -> Changi Airport
Today Mode,Tampines,Changi Airport,DFS,4,19,89,29.4,Tampines -> Tanah Merah -> Expo -> Changi Airport
Today Mode,Tampines,Changi Airport,GBFS,5,18,8,12.6,Tampines -> Simei -> Tanah Merah -> Expo -> Changi Airport
Today Mode,Tampines,Changi Airport,A*,5,18,17,16.2,Tampines -> Simei -> Tanah Merah -> Expo -> Changi Airport
Today Mode,Changi Airport,Marina Bay,BFS,10,39,36,49.2,Changi Airport -> Expo -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Marina Bay
Today Mode,Changi Airport,Marina Bay,DFS,14,51,27,13.8,Changi Airport -> Expo -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Downtown -> Bugis -> City Hall -> Gardens by the Bay -> Marina Bay
Today Mode,Changi Airport,Marina Bay,GBFS,10,39,10,18.1,Changi Airport -> Expo -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Marina Bay
Today Mode,Changi Airport,Marina Bay,A*,12,35,36,52.3,Changi Airport -> Expo -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Aljunied -> Kallang -> Bugis -> City Hall -> Raffles Place -> Marina Bay
Today Mode,Bedok,Changi Airport,BFS,4,17,10,9.1,Bedok -> Tanah Merah -> Expo -> Changi Airport
Today Mode,Bedok,Changi Airport,DFS,4,17,92,35.3,Bedok -> Tanah Merah -> Expo -> Changi Airport
Today Mode,Bedok,Changi Airport,GBFS,4,17,4,19.6,Bedok -> Tanah Merah -> Expo -> Changi Airport
Today Mode,Bedok,Changi Airport,A*,4,17,24,30.5,Bedok -> Tanah Merah -> Expo -> Changi Airport
Future Mode,Changi Terminal 5,City Hall,BFS,10,31,43,17.7,Changi Terminal 5 -> Tampines -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Aljunied -> Kallang -> Bugis -> City Hall
Future Mode,Changi Terminal 5,City Hall,DFS,12,46,25,13.6,Changi Terminal 5 -> Tampines -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Downtown -> Bugis -> City Hall
Future Mode,Changi Terminal 5,City Hall,GBFS,12,43,17,69.8,Changi Terminal 5 -> Tampines -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Marina Bay -> Raffles Place -> City Hall
Future Mode,Changi Terminal 5,City Hall,A*,11,30,37,45.8,Changi Terminal 5 -> Tampines -> Simei -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Aljunied -> Kallang -> Bugis -> City Hall
Future Mode,Changi Terminal 5,Orchard,BFS,13,43,73,28.5,Changi Terminal 5 -> Tampines -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Aljunied -> Kallang -> Bugis -> City Hall -> Dhoby Ghaut -> Somerset -> Orchard
Future Mode,Changi Terminal 5,Orchard,DFS,15,58,66,27.6,Changi Terminal 5 -> Tampines -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Downtown -> Bugis -> City Hall -> Dhoby Ghaut -> Somerset -> Orchard
Future Mode,Changi Terminal 5,Orchard,GBFS,15,55,21,32.8,Changi Terminal 5 -> Tampines -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Marina Bay -> Raffles Place -> City Hall -> Dhoby Ghaut -> Somerset -> Orchard
Future Mode,Changi Terminal 5,Orchard,A*,14,42,73,54.9,Changi Terminal 5 -> Tampines -> Simei -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Aljunied -> Kallang -> Bugis -> City Hall -> Dhoby Ghaut -> Somerset -> Orchard
Future Mode,Changi Terminal 5,Gardens by the Bay,BFS,11,34,52,20.8,Changi Terminal 5 -> Tampines -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Aljunied -> Kallang -> Bugis -> City Hall -> Gardens by the Bay
Future Mode,Changi Terminal 5,Gardens by the Bay,DFS,13,49,26,14.1,Changi Terminal 5 -> Tampines -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Downtown -> Bugis -> City Hall -> Gardens by the Bay
Future Mode,Changi Terminal 5,Gardens by the Bay,GBFS,11,41,11,59.8,Changi Terminal 5 -> Tampines -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Marina Bay -> Gardens by the Bay
Future Mode,Changi Terminal 5,Gardens by the Bay,A*,12,33,41,38.3,Changi Terminal 5 -> Tampines -> Simei -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Aljunied -> Kallang -> Bugis -> City Hall -> Gardens by the Bay
Future Mode,Paya Lebar,Changi Terminal 5,BFS,6,22,34,14.7,Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Tampines -> Changi Terminal 5
Future Mode,Paya Lebar,Changi Terminal 5,DFS,7,26,85,27.4,Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Expo -> Changi Airport -> Changi Terminal 5
Future Mode,Paya Lebar,Changi Terminal 5,GBFS,7,26,7,13.9,Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Expo -> Changi Airport -> Changi Terminal 5
Future Mode,Paya Lebar,Changi Terminal 5,A*,7,21,38,36.1,Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Simei -> Tampines -> Changi Terminal 5
Future Mode,HarbourFront,Changi Terminal 5,BFS,15,46,89,25.6,HarbourFront -> Telok Blangah -> Outram Park -> Tanjong Pagar -> Raffles Place -> City Hall -> Bugis -> Kallang -> Aljunied -> Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Tampines -> Changi Terminal 5
Future Mode,HarbourFront,Changi Terminal 5,DFS,20,75,57,36.2,HarbourFront -> Telok Blangah -> Outram Park -> Chinatown -> Raffles Place -> Marina Bay -> Gardens by the Bay -> City Hall -> Bugis -> Downtown -> Bayfront -> Promenade -> Nicoll Highway -> Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Expo -> Changi Airport -> Changi Terminal 5
Future Mode,HarbourFront,Changi Terminal 5,GBFS,16,58,20,33.8,HarbourFront -> Telok Blangah -> Outram Park -> Tanjong Pagar -> Raffles Place -> Marina Bay -> Bayfront -> Promenade -> Nicoll Highway -> Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Expo -> Changi Airport -> Changi Terminal 5
Future Mode,HarbourFront,Changi Terminal 5,A*,16,45,84,95.4,HarbourFront -> Telok Blangah -> Outram Park -> Tanjong Pagar -> Raffles Place -> City Hall -> Bugis -> Kallang -> Aljunied -> Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Simei -> Tampines -> Changi Terminal 5
Future Mode,Bishan,Changi Terminal 5,BFS,17,55,87,33.1,Bishan -> Braddell -> Novena -> Newton -> Orchard -> Somerset -> Dhoby Ghaut -> City Hall -> Bugis -> Kallang -> Aljunied -> Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Tampines -> Changi Terminal 5
Future Mode,Bishan,Changi Terminal 5,DFS,22,77,42,19.2,Bishan -> Braddell -> Novena -> Newton -> Orchard -> Somerset -> Dhoby Ghaut -> City Hall -> Gardens by the Bay -> Marina Bay -> Bayfront -> Downtown -> Bugis -> Kallang -> Aljunied -> Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Expo -> Changi Airport -> Changi Terminal 5
Future Mode,Bishan,Changi Terminal 5,GBFS,18,59,24,27.1,Bishan -> Braddell -> Novena -> Newton -> Orchard -> Somerset -> Dhoby Ghaut -> City Hall -> Bugis -> Kallang -> Aljunied -> Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Expo -> Changi Airport -> Changi Terminal 5
Future Mode,Bishan,Changi Terminal 5,A*,18,54,88,60.5,Bishan -> Braddell -> Novena -> Newton -> Orchard -> Somerset -> Dhoby Ghaut -> City Hall -> Bugis -> Kallang -> Aljunied -> Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Simei -> Tampines -> Changi Terminal 5
Future Mode,Tampines,Changi Terminal 5,BFS,2,9,5,7.6,Tampines -> Changi Terminal 5
Future Mode,Tampines,Changi Terminal 5,DFS,2,9,2,4.6,Tampines -> Changi Terminal 5
Future Mode,Tampines,Changi Terminal 5,GBFS,2,9,2,7.3,Tampines -> Changi Terminal 5
Future Mode,Tampines,Changi Terminal 5,A*,2,9,8,11.9,Tampines -> Changi Terminal 5
Future Mode,Changi Terminal 5,Marina Bay,BFS,10,39,46,21.9,Changi Terminal 5 -> Tampines -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Marina Bay
Future Mode,Changi Terminal 5,Marina Bay,DFS,14,51,27,13.6,Changi Terminal 5 -> Tampines -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Downtown -> Bugis -> City Hall -> Gardens by the Bay -> Marina Bay
Future Mode,Changi Terminal 5,Marina Bay,GBFS,10,39,10,20.5,Changi Terminal 5 -> Tampines -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Marina Bay
Future Mode,Changi Terminal 5,Marina Bay,A*,13,34,46,40.0,Changi Terminal 5 -> Tampines -> Simei -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Aljunied -> Kallang -> Bugis -> City Hall -> Raffles Place -> Marina Bay
Future Mode,Bedok,Changi Terminal 5,BFS,4,17,15,9.1,Bedok -> Tanah Merah -> Tampines -> Changi Terminal 5
Future Mode,Bedok,Changi Terminal 5,DFS,5,21,85,61.5,Bedok -> Tanah Merah -> Expo -> Changi Airport -> Changi Terminal 5
Future Mode,Bedok,Changi Terminal 5,GBFS,5,21,5,9.7,Bedok -> Tanah Merah -> Expo -> Changi Airport -> Changi Terminal 5
Future Mode,Bedok,Changi Terminal 5,A*,5,16,21,29.4,Bedok -> Tanah Merah -> Simei -> Tampines -> Changi Terminal 5
